city_id,avg_temp_day,total_rain,avg_pop,avg_humidity,avg_wind_speed,clear_sky_days,cloudy_days,rainy_days,weather_score,city_name,latitude,longitude
0,18.55875,0.0,0.0,56.875,5.5825,3,5,0,43,Mont-Saint-Michel,48.6359541,-1.51146
1,17.025,0.0,0.0,66.875,7.3575,2,6,0,36,Saint-Malo,48.649518,-2.0260409
2,16.6925,0.0,0.0037500000000000003,65.5,6.302499999999999,1,7,0,34,Bayeux,49.2764624,-0.7024738
3,16.76875,0.36,0.125,66.875,6.68625,1,6,1,29,Le Havre,49.4938975,0.1079732
4,17.8925,0.0,0.0,58.375,5.0075,2,6,0,36,Rouen,49.4404591,1.0939658
5,17.6825,0.0,0.0,53.0,3.86875,4,4,0,43,Paris,48.8534951,2.3483915
6,17.03125,0.0,0.0,60.875,4.805,0,8,0,35,Amiens,49.8941708,2.2956951
7,16.57625,0.21,0.025,64.375,3.99875,2,5,1,34,Lille,50.6365654,3.0635282
8,16.47125,0.0,0.0,63.375,3.6925,4,4,0,43,Strasbourg,48.584614,7.7507127
9,14.32375,0.0,0.0,63.375,2.64375,4,4,0,43,Haut-Koenigsbourg,48.2494107,7.3443202
10,16.815,0.0,0.0,63.25,3.0475,4,4,0,43,Colmar,48.0777517,7.3579641
11,16.43375,0.0,0.0,64.0,3.02375,4,4,0,43,Eguisheim,48.0447968,7.3079618
12,17.56125,0.0,0.0,62.125,4.02125,5,3,0,45,Besancon,47.2380222,6.0243622
13,17.00875,0.0,0.0,59.875,4.63,5,3,0,45,Dijon,47.3215806,5.0414701
14,17.1075,0.0,0.0,71.5,2.39625,2,6,0,36,Annecy,45.8992348,6.1288847
15,21.71625,0.0,0.0037500000000000003,59.125,2.11125,6,2,0,52,Grenoble,45.1875602,5.7357819
16,17.9875,0.0,0.0,63.125,2.86875,5,3,0,45,Lyon,45.7578137,4.8320114
17,18.173750000000002,12.629999999999999,0.375,51.625,2.30875,3,2,3,31,Gorges du Verdon,43.7496562,6.3285616
18,21.38125,0.57,0.16125,56.5,3.88625,5,2,1,45,Bormes-les-Mimosas,43.1506968,6.3419285
19,20.725,0.0,0.0,57.75,2.68,5,3,0,50,Cassis,43.2140359,5.5396318
20,21.4525,0.0,0.0,58.375,2.60625,5,3,0,50,Marseille,43.2961743,5.3699525
21,22.85625,0.0,0.0,44.75,3.1262499999999998,4,4,0,48,Aix-en-Provence,43.5298424,5.4474738
22,23.07,0.0,0.01625,45.25,5.25125,6,2,0,49,Avignon,43.9492493,4.8059012
23,22.87625,0.84,0.08875,43.5,5.175,5,2,1,42,Uzès,44.0121279,4.4196718
24,23.6275,0.75,0.07375,41.375,5.2625,5,2,1,42,Nîmes,43.8374249,4.3600687
25,21.595,0.0,0.0,54.5,5.12875,5,3,0,47,Aigues-Mortes,43.5661521,4.19154
26,20.36875,0.15,0.035,60.0,6.35375,5,2,1,42,Saintes-Maries-de-la-Mer,43.4515922,4.4277202
27,21.560000000000002,0.75,0.075,60.375,3.73,3,3,2,41,Collioure,42.52505,3.0831554
28,23.77375,1.25,0.1025,47.25,5.0525,4,3,1,40,Carcassonne,43.2130358,2.3491069
29,18.46,12.49,0.33999999999999997,51.875,2.53375,2,3,3,29,Ariège,42.9455368,1.4065544
30,22.95125,0.98,0.16375,47.875,4.06,5,2,1,45,Toulouse,43.6044638,1.4442433
31,22.5,0.25,0.04625,49.125,2.71,6,1,1,47,Montauban,44.0175835,1.3549991
32,20.045,0.86,0.15375,68.0,3.46125,6,0,2,47,Biarritz,43.4832523,-1.5592776
33,21.0425,0.75,0.12625,63.5,3.04,6,1,1,47,Bayonne,43.4945144,-1.4736657
34,19.40625,0.0,0.0,55.625,7.89,7,1,0,51,La Rochelle,46.159732,-1.1515951
